pond_id,area_m2,area_mu,bnd_n,h05,h50,h75,h95,hmean,v05_m3,v50_m3,v75_m3,v95_m3,vmean_m3,dem_min,dem_mean,dem_max,qa
17,1700.0,2.55,49,0.0,1.0,3.0,4.0,1.583,0.0,350.0,3025.0,5125.0,1035.025,0.0,1.806,5.0,OK
18,44300.0,66.45,289,0.0,2.0,4.0,6.0,2.787,0.0,19075.0,84125.0,171550.0,41209.375,0.0,2.424,7.0,OK
21,500.0,0.75,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
25,12100.0,18.15,137,-1.0,0.0,1.0,2.0,0.328,0.0,775.0,11525.0,24925.0,4301.0,-1.0,0.197,2.0,OK
26,1000.0,1.5,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
27,1900.0,2.85,49,-1.0,0.0,0.0,0.0,-0.082,0.0,200.0,200.0,200.0,183.6,-1.0,-0.079,0.0,OK
28,700.0,1.05,29,0.0,1.0,2.0,2.6,1.185,0.0,250.0,900.0,1515.0,370.25,0.0,1.209,3.0,OK
29,700.0,1.05,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
30,1600.0,2.4,33,-1.0,-1.0,0.0,1.0,-0.364,0.0,0.0,975.0,2825.0,620.1,-1.0,-0.395,1.0,OK
31,1000.0,1.5,33,0.0,1.0,3.0,4.0,1.625,0.0,275.0,2225.0,3475.0,806.25,0.0,1.579,5.0,OK
32,1600.0,2.4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
33,2200.0,3.3,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,1.0,OK
34,1600.0,2.4,45,-2.0,-1.0,0.0,0.0,-0.956,0.0,1075.0,2575.0,2575.0,1141.0,-2.0,-1.184,0.0,OK
36,13100.0,19.65,153,-1.0,0.0,0.0,2.0,-0.007,25.0,3100.0,3100.0,31025.0,3078.475,-2.0,-0.058,3.0,OK
37,166600.0,249.9,1141,0.0,2.0,2.0,3.0,1.603,100.0,80025.0,80025.0,238375.0,51738.75,-1.0,1.71,5.0,OK
38,1300.0,1.95,37,1.0,1.0,1.0,2.2,1.171,0.0,0.0,0.0,1770.0,243.675,1.0,1.225,3.0,OK
41,600.0,0.9,21,0.0,0.0,0.0,1.0,0.143,0.0,0.0,0.0,800.0,114.4,0.0,0.086,1.0,OK
46,500.0,0.75,21,0.0,1.0,2.0,8.0,1.65,0.0,175.0,725.0,4700.0,532.5,0.0,1.968,9.0,OK
47,700.0,1.05,25,0.0,1.0,2.0,2.8,0.957,0.0,350.0,950.0,1730.0,334.95,0.0,1.122,3.0,OK
48,6800.0,10.2,97,1.0,1.0,1.0,2.0,1.227,0.0,0.0,0.0,6525.0,1481.175,1.0,1.187,2.0,OK
55,8000.0,12.0,121,0.0,5.0,7.0,8.0,4.424,0.0,16300.0,29625.0,37975.0,13794.4,0.0,4.021,9.0,OK
57,700.0,1.05,25,1.0,1.0,2.0,2.0,1.44,0.0,0.0,725.0,725.0,319.0,1.0,1.293,2.0,OK
58,900.0,1.35,29,2.0,3.0,3.0,3.0,2.893,0.0,75.0,75.0,75.0,66.975,2.0,2.961,4.0,OK
59,600.0,0.9,29,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,OK
62,49000.0,73.5,533,-1.0,0.0,2.0,4.0,0.606,3450.0,25250.0,107500.0,208400.0,48641.6,-7.0,0.313,9.0,OK
63,800.0,1.2,25,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,1075.0,129.0,0.0,0.044,1.0,OK
66,2100.0,3.15,45,1.0,3.0,3.0,3.0,2.378,0.0,2300.0,2300.0,2300.0,1398.1,1.0,2.14,3.0,OK
68,16200.0,24.3,161,1.0,2.0,2.0,2.0,1.627,0.0,6775.0,6775.0,6775.0,4247.925,1.0,1.628,2.0,OK
74,46900.0,70.35,513,0.0,1.0,2.0,5.0,1.025,2300.0,27175.0,62325.0,198250.0,28053.75,-3.0,1.496,12.0,OK
76,600.0,0.9,25,0.0,0.0,0.0,1.8,0.087,0.0,0.0,0.0,1500.0,69.6,0.0,0.216,3.0,OK
83,800.0,1.2,25,-1.0,0.0,0.0,2.0,0.08,0.0,375.0,375.0,2325.0,447.0,-1.0,-0.067,2.0,OK
84,1600.0,2.4,49,1.0,1.0,1.0,3.0,1.367,0.0,0.0,0.0,3750.0,633.075,1.0,1.315,3.0,OK
87,5200.0,7.8,85,0.0,1.0,3.0,4.0,1.612,0.0,850.0,5850.0,11350.0,1997.5,0.0,2.191,4.0,OK
93,900.0,1.35,29,1.0,2.0,3.0,5.6,2.074,25.0,400.0,1075.0,3635.0,449.95,0.0,2.804,6.0,OK
97,2000.0,3.0,53,1.6,4.0,5.0,5.0,3.837,70.0,975.0,2800.0,2800.0,864.975,0.0,3.991,6.0,OK
105,21400.0,32.1,197,0.0,0.0,1.0,2.0,0.436,0.0,0.0,16275.0,37675.0,7095.9,0.0,0.423,3.0,OK
107,1200.0,1.8,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
113,1600.0,2.4,41,0.0,0.0,0.0,1.0,0.122,0.0,0.0,0.0,1950.0,237.9,0.0,0.082,1.0,OK
